"CRASH ROAD","CRASH DIST","CRASH DIRN","SIDE ROAD","CRASH ID","CRASH DATE","CRASH DOW","CRASH TIME","MVMT DESCR","CAUSES","ROAD WET","LIGHT","WTHRa","JUNC TYPE","TRAF CTRL","CRASH FATAL CNT","CRASH SEV CNT","CRASH MIN CNT","EASTING","NORTHING","NOTHING"
"1N/763/11.215","500","S","MANGATAWAI BR","2801106","12/01/2008","Sat","1451","CAR1 NBD on SH 1N lost control turning left","CAR1 too fast entering corner, lost control under heavy braking, driver over-reacted","Dry","Bright Sun","Fine","Unknown","N/A","0","0","1","1839263","5661962",
"1N/763/12.39","200","S","TREE TRUNK GORGE ROAD","201006138","07/12/2010","Tue","0316","TRUCK1 SBD on SH 1N lost control turning left, TRUCK1 hit Guard Rail, Traffic Sign","TRUCK1 too fast entering corner, fatigue (drowsy, tired, fell asleep)","Dry","Dark","Fine","Unknown","N/A","0","0","1","1838986","5660831",
"1N/763/12.69","500","S","TREE TRUNK GORGE ROAD","201103270","27/06/2011","Mon","0833","TRUCK1 NBD on SH 1N lost control turning left","TRUCK1 lost control due to road conditions  ENV: road slippery (frost or ice)","Ice/ Snow","Bright Sun","Fine","Unknown","N/A","0","1","0","1838971","5660535",
"1N/763/13.19","1000","S","TREE TRUNK GORGE ROAD","2803529","15/02/2008","Fri","1433","TRUCK1 NBD on SH 1N lost control on curve and hit CAR2 head on, CAR2 hit Guard Rail","TRUCK1 lost control due to vehicle fault, mechanical","Wet","Overcast","Light Rain","Unknown","Nil","0","1","1","1839138","5660250",
"1N/763/13.966","9380","S","KAIMANAWA ROAD","201105025","09/07/2011","Sat","1630","CAR1 SBD on SH 1N lost control turning right, CAR1 hit Cliff Bank on right hand bend ","CAR1 lost control under heavy braking","Wet","Twilight","Light Rain","Unknown","Nil","0","0","1","1838982","5659654",
"1N/763/14.19","2000","S","TREE TRUNK GORGE ROAD","2805232","05/10/2008","Sun","1300","CAR1 SBD on SH 1N lost control on curve and hit CAR2 head on","CAR1 too fast entering corner, lost control when turning  ENV: heavy rain","Wet","Overcast","Heavy Rain","Unknown","N/A","0","1","0","1838771","5659659",
"1N/777/0.009","","A","OTURERE BR","201204849","14/10/2012","Sun","","MOTOR CYCLE1 NBD on SH 1N lost control turning right on right hand bend ","MOTOR CYCLE1 lost control due to road conditions  ENV: slippery, road slippery (oil/diesel/fuel)","Wet","Overcast","Fine","Unknown","N/A","0","0","1","1838259","5659354",
"1N/777/0.009","","A","OTURERE BR","201004807","03/09/2010","Fri","1959","CAR1 SBD on SH 1N lost control turning left, CAR1 hit Cliff Bank, Traffic Sign","CAR1 lost control under heavy braking, suddenly swerved to avoid vehicle, driver over-reacted  ENV: road slippery (rain), strong wind","Wet","Dark","Light Rain","Unknown","N/A","0","1","3","1838259","5659354",
"1N/777/0.009","","A","OTURERE BR","201104507","17/10/2011","Mon","2100","CAR1 SBD on SH 1N lost control turning left, CAR1 hit Traffic Sign, Ditch","CAR1 lost control when turning, new driver showed inexperience, medical illness (not sudden eg flu)  ENV: heavy rain","Wet","Dark","Heavy Rain","Unknown","N/A","0","0","1","1838259","5659354",
"1N/777/0.72","720","S","OTURERE BR","201101508","17/02/2011","Thu","0300","CAR1 NBD on SH 1N lost control turning left, CAR1 hit Cliff Bank","CAR1 too fast entering corner, lost control when turning","Dry","Dark","Fine","Unknown","N/A","0","0","1","1838901","5659240",
"1N/777/0.75","750","S","OTURERE BR","201101087","23/01/2011","Sun","1408","CAR1 NBD on SH 1N lost control turning left, CAR1 went Over Bank, Water/River","CAR1 too far left/right, lost control when turning, new driver showed inexperience  ENV: heavy rain","Wet","Overcast","Heavy Rain","Unknown","N/A","0","0","1","1838910","5659212",
"1N/777/3.193","5820","S","TREE TRUNK GORGE ROAD","201100041","15/04/2011","Fri","1329","CAR1 NBD on SH 1N swinging wide hit CAR2 head on","CAR1 alcohol not suspected, tested and -ve (MoT use only), swung wide on bend, inattentive, illness and disability","Dry","Overcast","Fine","Unknown","Nil","2","0","2","1838037","5657397",
"1N/777/5.873","8500","S","TREE TRUNK GORGE ROAD","201200111","08/11/2012","Thu","0422","TRUCK1 SBD on SH 1N lost control turning left, TRUCK1 hit Guard Rail","TRUCK1 alcohol not suspected, tested and -ve (MoT use only), too fast entering corner, lost control when turning, attention diverted","Dry","Dark","Fine","Unknown","Nil","1","0","0","1836262","5655641",
"1N/777/6.314","620","N","RANGIPO INTAKE ROAD","201001522","31/01/2010","Sun","1542","MOTOR CYCLE1 SBD on SH 1N lost control while overtaking","MOTOR CYCLE1 lost control when turning, overtaking  ENV: road slippery (rain)","Wet","Overcast","Heavy Rain","Unknown","Nil","0","1","0","1836062","5655251",
"1N/777/8.083","","A","MANGATOETOENUI BR","201103704","29/07/2011","Fri","1203","CAR1 NBD on SH 1N hit rear end of CAR2 stop/slow for PEDESTRIAN","CAR1 following too closely  CAR2 suddenly braked","Dry","Bright Sun","Fine","Unknown","N/A","0","1","0","1835774","5653584",
"1N/777/10.111","1400","N","WAIPAKIHI ROAD","201001059","19/01/2010","Tue","0540","CAR1 SBD on SH 1N lost control turning right on right hand bend ","CAR1 lost control when turning, driver over-reacted  ENV: slippery, road slippery (rain)","Wet","Dark","Light Rain","Unknown","N/A","0","0","1","1836058","5652072",
"1N/777/10.121","1390","N","WAIPAKIHI ROAD","201103669","13/08/2011","Sat","0754","CAR1 NBD on SH 1N lost control turning left","CAR1 lost control when turning  ENV: slippery, heavy rain","Wet","Overcast","Heavy Rain","Unknown","N/A","0","1","0","1836062","5652062",
"1N/777/10.134","3200","S","RANGIPO INTAKE ROAD","201003242","20/06/2010","Sun","1505","CAR1 NBD on SH 1N lost control on curve and hit CAR2 head on, CAR1 hit Guard Rail","CAR1 too fast entering corner, lost control when turning, brakes, load too heavy  ENV: heavy rain","Wet","Overcast","Heavy Rain","Unknown","N/A","0","1","0","1836067","5652050",
"1N/777/10.141","1370","N","WAIPAKIHI ROAD","201002642","30/04/2010","Fri","1800","SUV1 NBD on SH 1N lost control turning left, SUV1 went Over Bank","SUV1 lost control when turning  ENV: road slippery (rain)","Wet","Dark","Light Rain","Unknown","Nil","0","0","2","1836070","5652044",
"1N/777/10.161","1350","N","WAIPAKIHI ROAD","201103966","10/07/2011","Sun","0005","CAR1 SBD on SH 1N lost control turning left, CAR1 hit Guard Rail","CAR1 lost control under heavy braking, lost control due to road conditions  ENV: road slippery (rain)","Wet","Dark","Heavy Rain","Unknown","Nil","0","0","1","1836077","5652025",
"1N/777/10.211","1300","N","WAIPAKIHI ROAD","201102593","06/05/2011","Fri","1702","SUV1 NBD on SH 1N hit obstruction, SUV1 went Over Bank, Guard Rail, Slip Or Flood","SUV1 lost control due to road conditions","Wet","Dark","Heavy Rain","Unknown","Nil","0","0","1","1836093","5651978",
"1N/777/11.871","360","S","WAIPAKIHI ROAD","201001689","20/02/2010","Sat","1715","CAR1 SBD on SH 1N lost control turning right on right hand bend ","CAR1 lost control when turning, failed to notice roadworks signs  ENV: road surface deep loose metal, road surface under construction or maintenance","Dry","Bright Sun","Fine","Unknown","Nil","0","0","2","1835809","5650362",
"1N/777/12.011","500","S","WAIPAKIHI ROAD","201100026","04/03/2011","Fri","2338","TRUCK1 NBD on SH 1N lost control turning right, TRUCK1 hit Cliff Bank, Guard Rail on right hand bend ","TRUCK1 lost control when turning, illness with no warning (eg heart attack)","Wet","Dark","Light Rain","Unknown","Nil","1","0","0","1835789","5650227",
"1N/777/12.011","500","S","WAIPAKIHI ROAD","201001095","08/01/2010","Fri","0755","MOTOR CYCLE1 SBD on SH 1N lost control turning left","MOTOR CYCLE1 lost control due to road conditions  ENV: slippery, road slippery (rain), road slippery (surface bleeding / defective)","Wet","Overcast","Light Rain","Unknown","N/A","0","0","1","1835789","5650227",
"1N/777/12.434","5500","S","RANGIPO INTAKE ROAD","201003774","25/07/2010","Sun","0830","SUV1 SBD on SH 1N lost control turning right, SUV1 went Over Bank on right hand bend ","SUV1 lost control due to road conditions  ENV: road slippery (frost or ice), fog or mist","Ice/ Snow","Overcast","Mist","Unknown","N/A","0","0","3","1836063","5649912",
"1N/777/13.031","1520","S","WAIPAKIHI ROAD","2900115","18/07/2009","Sat","2043","VAN1 SBD on SH 1N swinging wide hit TRUCK2 head on","VAN1 alcohol not suspected, tested and -ve (MoT use only), swung wide on bend, inattentive, fatigue (drowsy, tired, fell asleep)","Ice/ Snow","Dark","Light Rain","Unknown","Nil","1","0","0","1836273","5649357",
"1N/777/14.205","","A","WAIKATO BR","2906220","17/12/2009","Thu","0650","TRUCK1 SBD on SH 1N lost control on curve and hit VAN2 head on","TRUCK1 swung wide on bend  VAN2 new driver showed inexperience","Dry","Bright Sun","Fine","Unknown","Nil","0","0","1","1836601","5648367",
"1N/777/14.405","200","S","WAIKATO BR","201104473","20/02/2011","Sun","1820","TRUCK1 NBD on SH 1N lost control turning right on right hand bend ","TRUCK1 lost control when turning, driver over-reacted  ENV: road slippery (rain)","Wet","Overcast","Light Rain","Unknown","N/A","0","0","1","1836465","5648222",
"1N/777/14.425","220","S","WAIKATO BR","201205738","27/12/2012","Thu","1500","CAR1 NBD on SH 1N lost control turning right, CAR1 hit Guard Rail on right hand bend ","CAR1 lost control when turning, attention diverted by cigarette etc, impared ability due to old age  ENV: road slippery (rain)","Wet","Overcast","Light Rain","Unknown","N/A","0","0","1","1836457","5648204",
"1N/777/14.934","8000","S","RANGIPO INTAKE ROAD","2904612","20/05/2009","Wed","2050","SUV1 SBD on SH 1N lost control; went off road to left","SUV1 lost control due to road conditions, inexperience  ENV: road slippery (frost or ice), road slippery (snow or hail)","Ice/ Snow","Dark","Snow","Unknown","Nil","0","1","0","1836388","5647703",
"1N/777/14.951","3440","S","WAIPAKIHI ROAD","2904622","01/06/2009","Mon","0800","SUV1 NBD on SH 1N lost control turning right, SUV1 went Over Bank on right hand bend ","SUV1 lost control due to road conditions  ENV: road slippery (frost or ice)","Ice/ Snow","Bright Sun","Snow","Unknown","Nil","0","2","4","1836381","5647688",
"1N/777/15.055","850","S","WAIKATO BR","2904090","02/08/2009","Sun","0605","CAR1 NBD on SH 1N lost control turning right, CAR1 hit Cliff Bank on right hand bend ","CAR1 lost control due to road conditions, new driver showed inexperience  ENV: road slippery (frost or ice)","Ice/ Snow","Dark","Fine","Unknown","N/A","0","0","3","1836359","5647587",
"2/100/5.17","650","W","ATHENREE ROAD","2805865","08/06/2008","Sun","1429","CAR1 EBD on SH 2 hit CAR2 turning right onto SH 2 from the left","CAR2 failed to give way at driveway, illness with no warning (eg heart attack), impared ability due to old age  ENV: entering or leaving other commercial","Dry","Bright Sun","Fine","Driveway","Nil","0","2","2","1858645","5850276",
"2/100/5.67","150","W","ATHENREE ROAD","201104578","10/10/2011","Mon","1220","SUV1 WBD on SH 2 lost control turning right, SUV1 hit Cliff Bank on right hand bend ","SUV1 lost control when turning, driver over-reacted  ENV: slippery, road slippery (rain)","Wet","Overcast","Light Rain","Unknown","N/A","0","1","0","1859031","5850181",
"2/100/5.7","120","N","ATHENREE ROAD","201003502","13/06/2010","Sun","0230","TRUCK1 NBD on SH 2 lost control turning right, TRUCK1 hit Cliff Bank on right hand bend ","TRUCK1 lost control under heavy braking, lost control avoiding another vehicle, fatigue (drowsy, tired, fell asleep)","Wet","Dark","Light Rain","Unknown","Nil","0","0","1","1859058","5850170",
"2/100/5.74","80","N","ATHENREE ROAD","2901200","03/01/2009","Sat","1800","CAR1 WBD on SH 2 lost control turning left, CAR1 hit Cliff Bank","CAR1 too fast entering corner, lost control under heavy braking","Wet","Overcast","Light Rain","Unknown","N/A","0","0","1","1859096","5850158",
"2/100/5.77","50","W","ATHENREE ROAD","2801572","04/03/2008","Tue","1510","CAR1 WBD on SH 2 hit rear end of TRUCK2 stop/slow for obstruction","CAR1 failed to notice car slowing  ENV: road slippery (rain), visibility limited by crest or dip","Wet","Overcast","Light Rain","Unknown","N/A","0","0","1","1859125","5850149",
"2/100/5.87","50","E","ATHENREE ROAD","201104488","29/09/2011","Thu","1420","CAR1 EBD on SH 2 lost control on straight and hit TRUCK2 head on","CAR1 alcohol test result unknown, lost control, fatigue due to lack of sleep","Dry","Overcast","Fine","Unknown","N/A","0","1","1","1859213","5850103",
"2/100/7.748","1650","N","WOLSELEY ROAD","201203319","26/06/2012","Tue","1035","TRUCK1 SBD on SH 2 lost control turning right, TRUCK1 hit Ditch on right hand bend ","TRUCK1 too far left/right, lost control when turning, fatigue due to long trip","Dry","Overcast","Fine","Unknown","N/A","0","0","1","1859520","5848516",
"2/100/9.426","50","N","TANNERS POINT ROAD","2802532","09/04/2008","Wed","1307","CAR1 SBD on SH 2 lost control turning right, CAR1 hit Cliff Bank on right hand bend ","CAR1 too far left/right, attention diverted by cigarette etc, new driver showed inexperience","Dry","Bright Sun","Fine","Unknown","N/A","0","0","1","1858975","5846731",
"2/100/9.719","","I","TANNERS POINT ROAD","201004374","12/08/2010","Thu","0730","CAR1 SBD on SH 2 hit VAN2 turning right onto SH 2 from the left","VAN2 failed to give way at stop sign, windscreen or rear window misted/frosted","Dry","Bright Sun","Fine","T Type Junction","Stop Sign","0","1","1","1858957","5846684",
"2/100/10.898","200","N","HIKURANGI ROAD","2902030","15/03/2009","Sun","0850","CAR1 SBD on SH 2 lost control; went off road to left, CAR1 hit Ditch","CAR1 alcohol suspected, fatigue (drowsy, tired, fell asleep)","Dry","Bright Sun","Fine","Unknown","N/A","0","1","0","1858705","5845765",
"2/100/11.027","150","S","HIKURANGI ROAD","201204431","10/10/2012","Wed","1430","SUV1 SBD on SH 2 lost control but did not leave the road","SUV1 too far left/right, lost control while returning to seal from unsealed shoulder, driver over-reacted","Dry","Bright Sun","Fine","Unknown","N/A","0","0","1","1858597","5845434",
"2/100/11.553","80","N","TUAPIRO ROAD","2902375","09/04/2009","Thu","1608","VAN1 SBD on SH 2 hit rear of CAR2 turning right from centre line","VAN1 failed to notice indication of vehicle in front  ENV: entering or leaving private house / farm","Dry","Bright Sun","Fine","Driveway","N/A","0","1","2","1858350","5844969",
"2/100/11.633","","I","TUAPIRO ROAD","201104593","15/10/2011","Sat","1210","CAR1 NBD on SH 2 hit rear of CAR2 turning right from centre line","CAR1 too fast on straight, failed to notice indication of vehicle in front","Dry","Bright Sun","Fine","T Type Junction","Stop Sign","0","0","2","1858315","5844898",
"2/100/11.633","","I","TUAPIRO ROAD","201205931","25/12/2012","Tue","1013","CAR1 NBD on SH 2 hit rear of CAR2 turning right from centre line, VAN3 hit Post Or Pole","CAR1 inattentive, failed to notice car slowing","Wet","Overcast","Light Rain","T Type Junction","Stop Sign","0","0","2","1858315","5844898",
"2/100/12.086","150","N","MCMILLAN ROAD","201101483","25/02/2011","Fri","0011","CAR1 NBD on SH 2 lost control; went off road to left, CAR1 hit Post Or Pole","CAR1 alcohol test above limit or test refused, too fast on straight, lost control","Dry","Dark","Fine","Unknown","N/A","0","0","1","1858139","5844480",
"2/100/12.153","300","S","TUAPIRO ROAD","2905028","08/10/2009","Thu","1641","CAR1 NBD on SH 2 overtaking hit CAR2 head on, CAR1 hit Cliff Bank, Fence","CAR1 overtaking deliberately in the face of oncoming traffic, new driver showed inexperience","Dry","Bright Sun","Fine","Unknown","N/A","0","0","7","1858199","5844621",
"2/100/12.386","150","S","MCMILLAN ROAD","201101057","11/01/2011","Tue","0850","CAR1 NBD on SH 2 lost control turning right, CAR1 hit Fence on right hand bend ","CAR1 lost control when turning","Dry","Bright Sun","Fine","Unknown","N/A","0","0","2","1858027","5844202",
"2/100/12.462","600","N","KAURI POINT ROAD","201101479","05/03/2011","Sat","2010","CAR1 NBD on SH 2 lost control turning right, CAR1 hit Tree on right hand bend ","CAR1 lost control when turning  ENV: road slippery (rain)","Wet","Dark","Light Rain","Unknown","N/A","0","0","1","1858014","5844127",
"2/100/13.062","","I","KAURI POINT ROAD","201103114","29/05/2011","Sun","1042","CAR2 turning right hit by oncoming CAR1 SBD on SH 2 ","CAR2 failed to give way when turning to non-turning traffic, didnt see/look when required to give way to traffic from another direction","Dry","Bright Sun","Fine","T Type Junction","Give Way Sign","0","0","2","1858024","5843527",
"2/100/13.962","","I","WOODLAND ROAD","2802368","28/03/2008","Fri","1715","VAN1 NBD on SH 2 hit VAN2 turning right onto SH 2 from the left","VAN2 failed to give way at stop sign, misjudged speed etc of vehicle coming from another dirn with right of way","Dry","Overcast","Fine","T Type Junction","Stop Sign","0","0","1","1857716","5842775",
"2/100/14.362","400","S","WOODLAND ROAD","201201147","15/02/2012","Wed","1430","CAR1 SBD on SH 2 lost control turning left","CAR1 too fast entering corner, lost control when turning, new driver showed inexperience  ENV: road slippery (rain)","Wet","Overcast","Light Rain","Unknown","N/A","0","0","4","1857515","5842455",
"2/100/14.596","150","N","STOKES ROAD","201004418","24/08/2010","Tue","1035","CAR1 NBD on SH 2 lost control; went off road to left, CAR1 hit Fence","CAR1 too far left/right","Dry","Bright Sun","Fine","Unknown","Nil","0","0","1","1857565","5842227",
"2/116/0","","I","STOKES ROAD","201004308","04/08/2010","Wed","0520","TRUCK1 NBD on SH 2 hit TRUCK2 headon on straight","TRUCK1 misjudged speed of own vehicle  ENV: road surface unusually narrow","Dry","Dark","Fine","T Type Junction","Nil","0","0","1","1857553","5841928",
"2/116/0.2","200","S","STOKES ROAD","201004863","13/10/2010","Wed","2020","CAR1 NBD on SH 2 hit rear end of CAR2 stopped/moving slowly","CAR1 following too closely, failed to notice car slowing  CAR2 alcohol test above limit or test refused  ENV: road slippery (rain)","Wet","Dark","Light Rain","Unknown","N/A","0","0","1","1857419","5841780",
"2/116/0.993","100","S","LINDEMANN ROAD","2904082","21/07/2009","Tue","2126","CAR1 SBD on SH 2 lost control turning right, CAR1 went Over Bank, Other on right hand bend ","CAR1 fatigue due to long trip","Dry","Dark","Fine","Unknown","N/A","0","0","3","1857291","5841021",
"2/116/1.023","130","S","LINDEMANN ROAD","2904204","25/07/2009","Sat","0300","VAN1 SBD on SH 2 lost control turning right, VAN1 went Over Bank, Fence on right hand bend ","VAN1 alcohol suspected, new driver showed inexperience, fatigue due to lack of sleep","Dry","Dark","Fine","Unknown","N/A","0","1","0","1857283","5840992",
"2/116/1.093","200","S","LINDEMANN ROAD","201200114","12/11/2012","Mon","1714","CAR1 SBD on SH 2 cutting corner hit CAR2 head on","CAR1 alcohol test above limit or test refused, too fast entering corner, cutting corner on bend","Dry","Overcast","Fine","Unknown","Nil","1","1","0","1857258","5840928",
"2/116/1.712","","I","HYDE ST","201102997","14/06/2011","Tue","1530","CAR1 SBD on SH 2 hit rear end of CAR2 stopped/moving slowly","CAR1 following too closely  CAR2 sudden action","Dry","Bright Sun","Fine","T Type Junction","Stop Sign","0","0","1","1857189","5840352",
"2/116/1.905","20","N","MULGAN ST","201104705","11/11/2011","Fri","1805","CAR1 NBD on SH 2 hit rear end of SUV2 stop/slow for queue","CAR1 failed to notice car slowing, attention diverted by scenery or persons outside vehicle","Dry","Bright Sun","Fine","Unknown","N/A","0","0","1","1857359","5840261",
"2/116/1.978","80","E","MACMILLAN ST","2903744","12/02/2009","Thu","2316","CAR1 WBD on SH 2 lost control turning right on right hand bend ","CAR1 alcohol suspected","Wet","Dark","Light Rain","Unknown","Nil","0","0","1","1857423","5840220",
"2/116/2.242","200","N","BEACH ROAD","201102791","24/05/2011","Tue","0840","CYCLIST1 (Age 9)EBD on SH 2 hit CAR2 crossing at right angle from right","CYCLIST1 failed to give way entering roadway not from driveway or intersection","Dry","Bright Sun","Fine","Unknown","Nil","0","0","1","1857635","5840067",
"2/116/2.442","","I","BEACH ROAD","201105680","14/12/2011","Wed","0755","SUV1 SBD on SH 2 hit CAR2 turning right onto SH 2 from the left","CAR2 failed to give way at stop sign, didnt see/look when required to give way to traffic from another direction  ENV: road slippery (rain)","Wet","Overcast","Light Rain","T Type Junction","Stop Sign","0","0","1","1857773","5839922",
"2/116/2.442","","I","BEACH ROAD","201103618","11/08/2011","Thu","0755","CAR1 SBD on SH 2 hit CAR2 turning right onto SH 2 from the left","CAR2 failed to give way at stop sign, overseas/migrant driver failed to adjust to NZ road rules and road conditions  ENV: heavy rain","Wet","Overcast","Heavy Rain","T Type Junction","Stop Sign","0","0","1","1857773","5839922",
"2/116/2.455","15","S","BEACH ROAD","2804348","17/07/2008","Thu","2104","CAR1 SBD on SH 2 lost control turning right, CAR1 hit House Or Bldg, Kerb, Other on right hand bend ","CAR1 alcohol test above limit or test refused, too fast entering corner, worn tread on tyre","Dry","Dark","Fine","Unknown","N/A","0","1","0","1857779","5839909",
"2/116/2.482","40","S","BEACH ROAD","201205250","29/11/2012","Thu","2236","CAR1 SBD on SH 2 lost control turning right, CAR1 hit Post Or Pole, Other on right hand bend ","CAR1 alcohol test result unknown, lost control when turning","Dry","Dark","Fine","Unknown","N/A","0","0","1","1857779","5839884",
"2/116/2.607","170","N","JOCELYN ST","201205206","27/11/2012","Tue","1126","CAR1 NBD on SH 2 hit PEDESTRIAN, CAR1 hit House Or Bldg, Other","CAR1 attention diverted, illness and disability","Dry","Bright Sun","Fine","Unknown","N/A","0","1","1","1857731","5839769",
"2/116/2.764","10","N","JOCELYN ST","2904559","22/09/2009","Tue","1500","CAR1 SBD on SH 2 hit CAR2 merging from the left","CAR2 failed to give way at driveway, wrong pedal, impared ability due to old age  ENV: entering or leaving other commercial","Dry","Bright Sun","Fine","Driveway","N/A","0","0","1","1857686","5839616",
"2/116/2.784","10","S","JOCELYN ST","2902576","01/02/2009","Sun","2050","CAR1 SBD on SH 2 hit PEDESTRIAN crossing road from right side","PEDESTRIAN2 crossing heedless of traffic, pedestrian wearing dark clothing","Dry","Dark","Fine","X Type Junction","Nil","0","0","1","1857683","5839597",
"2/116/2.787","10","S","JOCELYN ST","201104689","22/10/2011","Sat","2230","CAR1 NBD on SH 2 lost control; went off road to left, CAR1 hit Post Or Pole","CAR1 alcohol test above limit or test refused, attention diverted by cell phone","Dry","Dark","Fine","T Type Junction","Stop Sign","0","0","1","1857683","5839597",
"2/116/2.794","20","E","JOCELYN ST","2905027","08/10/2009","Thu","1310","CAR1 EBD on SH 2 hit CYCLIST2 (Age 12)crossing","CYCLIST2 failed to give way entering roadway not from driveway or intersection, attention diverted","Dry","Bright Sun","Fine","Unknown","N/A","0","1","0","1857681","5839587",
"2/116/2.834","60","E","JOCELYN ST","201001800","26/02/2010","Fri","0849","CAR1 WBD on SH 2 hit PEDESTRIAN crossing road from left side","CAR1 failed to give way to ped on a xing, didnt see/look when required to give way to ped","Dry","Bright Sun","Fine","Unknown","Nil","0","0","1","1857675","5839547",
"2/116/2.854","80","S","JOCELYN ST","2801417","05/02/2008","Tue","1600","CAR1 NBD on SH 2 hit PEDESTRIAN crossing road from right side","CAR1 failed to give way to ped on a xing, attention diverted by other traffic, didnt see/look when required to give way to ped","Dry","Bright Sun","Fine","Unknown","N/A","0","0","1","1857672","5839528",
"2/116/3.144","","I","EARL DRIVE","201201099","09/01/2012","Mon","1130","CAR1 SBD on SH 2 hit CAR2 turning right onto SH 2 from the left","CAR2 failed to give way at give way sign, didnt see/look when required to give way to traffic from another direction, impared ability due to old age","Dry","Bright Sun","Fine","T Type Junction","Give Way Sign","0","0","1","1857621","5839247",
"2/116/3.156","100","S","FAIRVIEW ROAD","201003201","13/05/2010","Thu","0540","MOPED1 NBD on SH 2 hit CAR2 U-turning from same direction of travel","CAR2 didnt see/look behind when changing lanes, position or direction, new driver showed inexperience","Dry","Dark","Fine","Unknown","N/A","0","0","2","1857616","5839235",
"2/116/3.181","40","S","EARL DRIVE","2805117","26/09/2008","Fri","1842","CAR1 SBD on SH 2 hit rear of CAR2 turning right from centre line","CAR1 too fast on straight, following too closely  ENV: entering or leaving other commercial","Dry","Dark","Fine","Driveway","Nil","0","0","1","1857607","5839210",
"2/116/3.997","450","S","MARSHALL ROAD","201203466","03/07/2012","Tue","1615","CAR1 SBD on SH 2 hit rear of CAR2 turning right from centre line","CAR1 failed to notice indication of vehicle in front  ENV: heavy rain, entering or leaving private house / farm","Wet","Dark","Heavy Rain","Driveway","N/A","0","0","2","1857268","5838472",
"2/116/4.25","","I","WHARAWHARA ROAD","2905530","26/10/2009","Mon","1350","CAR1 NBD on SH 2 hit VAN2 turning right onto SH 2 from the left","VAN2 failed to give way at stop sign, didnt see/look when required to give way to traffic from another direction","Dry","Bright Sun","Fine","T Type Junction","Stop Sign","0","1","3","1857144","5838248",
"2/116/4.253","","I","WHARAWHARA ROAD","201105686","28/12/2011","Wed","1430","CAR1 NBD on SH 2 hit CAR2 turning right onto SH 2 from the left","CAR2 failed to give way at stop sign, misjudged speed etc of vehicle coming from another dirn with right of way, overseas/migrant driver failed to adjust to NZ road rules and road conditions","Dry","Overcast","Fine","T Type Junction","Stop Sign","0","1","0","1857144","5838248",
"2/116/5.113","","I","TETLEY ROAD","201002626","16/04/2010","Fri","1845","CAR1 SBD on SH 2 hit CAR2 turning right onto SH 2 from the left","CAR2 failed to give way at stop sign","Dry","Dark","Fine","X Type Junction","Stop Sign","0","0","2","1856950","5837429",
"2/116/5.16","50","S","TETLEY ROAD","2803833","04/06/2008","Wed","0735","CAR1 SBD on SH 2 hit CAR2 U-turning from same direction of travel","CAR2 didnt see/look behind when changing lanes, position or direction","Dry","Bright Sun","Fine","Unknown","N/A","0","1","0","1856964","5837381",
"2/116/5.564","450","S","REA ROAD","201202740","22/05/2012","Tue","1500","TRUCK1 SBD on SH 2 hit rear of TRUCK2 turning right from centre line","TRUCK1 failed to notice indication of vehicle in front  ENV: entering or leaving private house / farm","Dry","Bright Sun","Fine","Driveway","N/A","0","0","2","1857102","5837005",
"2/116/5.61","500","S","TETLEY ROAD","2903748","01/05/2009","Fri","1210","CAR1 NBD on SH 2 lost control; went off road to left, CAR1 went Over Bank, Guard Rail","CAR1 attention diverted by cigarette etc","Dry","Bright Sun","Fine","Unknown","Nil","0","0","1","1857116","5836957",
"2/116/5.916","100","N","HOT SPRINGS ROAD","201201990","01/05/2012","Tue","1545","CAR1 NBD on SH 2 lost control; went off road to left, CAR1 hit Ditch","CAR1 illness with no warning (eg heart attack), impared ability due to old age","Dry","Overcast","Fine","Unknown","N/A","0","0","2","1857190","5836666",
"2/116/6.016","","I","HOT SPRINGS ROAD","201004305","04/08/2010","Wed","1000","CAR1 EBD on HOT SPRINGS ROAD hit rear end of CAR2 stop/slow for obstruction","CAR1 attention diverted by other traffic","Wet","Overcast","Light Rain","T Type Junction","Stop Sign","0","0","1","1857192","5836566",
"2/116/6.226","210","S","HOT SPRINGS ROAD","201200110","02/11/2012","Fri","1555","VAN2 turning right hit by oncoming MOTOR CYCLE1 SBD on SH 2 ","MOTOR CYCLE1 alcohol not suspected, tested and -ve (MoT use only)  VAN2 failed to give way when turning to non-turning traffic, attention diverted by other traffic, didnt see/look when required to give way to traffic from another direction  ENV: entering or leaving private house / farm","Dry","Bright Sun","Fine","Driveway","Nil","1","0","0","1857153","5836360",
"2/116/6.516","500","S","HOT SPRINGS ROAD","201203946","22/08/2012","Wed","1120","CAR1 NBD on SH 2 lost control turning right, CAR1 hit Cliff Bank on right hand bend ","CAR1 too far left/right, lost control while returning to seal from unsealed shoulder, driver over-reacted","Dry","Bright Sun","Fine","Unknown","N/A","0","1","0","1857064","5836085",
"2/116/7.474","100","S","LUND ROAD","2904270","13/08/2009","Thu","2135","CAR1 SBD on SH 2 lost control turning left, CAR1 hit Fence","CAR1 alcohol test above limit or test refused, too fast entering corner, lost control when turning","Wet","Dark","Fine","Unknown","N/A","0","0","1","1857063","5835132",
